"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"BLIZZARD SHEEVA 11 24/25 SKI DAMEN",112,175,"140, 112, 130",1820,"174","499.00","https://www.sport-conrad.com/produkte/blizzard/sheeva-11-sc-1.html"
"DPS CARBON KAIZEN 105 (INKL. PHANTOM) 24/25 SKI",105,18,"135, 105, 119",1910,"171, 179, 184, 189","1695.95","https://www.sport-conrad.com/produkte/dps/carbon-kaizen-105-inkl-phantom.html"
"FISCHER RANGER 96 24/25 SKI",97,18,"129, 97, 120",1950,"173","549.00","https://www.sport-conrad.com/produkte/fischer/ranger-96-sc-2.html"
"BLACK DIAMOND IMPULSE 112 TI 24/25 SKI",112,20,"139, 112, 126",2030,"181, 186","599.00","https://www.sport-conrad.com/produkte/black-diamond/impulse-112-ti.html"
"SALOMON STELLA 106 24/25 SKI DAMEN",106,17,"137, 106, 124",1810,"165","499.00","https://www.sport-conrad.com/produkte/salomon/stella-106.html"
"ZAG HARFANG 96 24/25 SKI HERREN",96,20,"132, 5, 96, 117",1990,"188","499.00","https://www.sport-conrad.com/produkte/zag/harfang-96.html"
"FISCHER RANGER 116 24/25 SKI",116,20,"147, 116, 137",2150,"180, 187","499.00","https://www.sport-conrad.com/produkte/fischer/ranger-116.html"
"VÖLKL REVOLT 104 24/25 SKI",104,19,"132, 104, 122",2000,"172, 180, 188","399.00","https://www.sport-conrad.com/produkte/voelkl/revolt-104-sc-2.html"
"ARMADA RELIANCE 82 C 24/25 SKI",82,154,"126, 82, 109",1475,"150","299.00","https://www.sport-conrad.com/produkte/armada/reliance-82-c.html"
"ZAG SLAP 98 24/25 SKI HERREN",98,20,"130, 98, 116, 5",1900,"173","449.00","https://www.sport-conrad.com/produkte/zag/slap-98.html"
"VÖLKL REVOLT 104 24/25 SKI",104,19,"132, 104, 122",2000,"172, 180, 188","399.00","https://www.sport-conrad.com/produkte/voelkl/revolt-104-sc-2.html"
"ARMADA RELIANCE 82 C 24/25 SKI",82,154,"126, 82, 109",1475,"150","299.00","https://www.sport-conrad.com/produkte/armada/reliance-82-c.html"
"ELAN RIPSTICK 100 W 24/25 SKI DAMEN",100,168,"134, 100, 114",1535,"161","549.00","https://www.sport-conrad.com/produkte/elan/ripstick-100-w.html"
"ARMADA LOCATOR 104 24/25 SKI",104,22,"131, 104, 122",1450,"162, 178","599.00","https://www.sport-conrad.com/produkte/armada/locator-104-sc-2.html"
"DPS LOTUS 124 (INKL. PHANTOM) 24/25 SKI",124,23,"141, 124, 131",2125,"185, 191","1695.95","https://www.sport-conrad.com/produkte/dps/lotus-124-inkl-phantom.html"
"ARMADA RELIANCE 88 C 24/25 SKI",88,167,"130, 88, 111",1575,"152","299.00","https://www.sport-conrad.com/produkte/armada/reliance-88-c-sc-1.html"
"BLACK DIAMOND IMPULSE 98 TI W 24/25 SKI DAMEN",95,16,"131, 98, 119",1690,"161","549.00","https://www.sport-conrad.com/produkte/black-diamond/impulse-98-ti-w.html"
"DPS LOTUS 124 (INKL. PHANTOM) 24/25 SKI",124,23,"141, 124, 131",2125,"185, 191","1695.95","https://www.sport-conrad.com/produkte/dps/lotus-124-inkl-phantom.html"
"K2 CRESCENDO 24/25 SKI",132,220,"155, 132, 144",2270,"177","529.00","https://www.sport-conrad.com/produkte/k2/crescendo.html"
"KÄSTLE PARAGON 93 24/25 SKI",93,164,"128, 93, 115",1827,"177, 184","699.00","https://www.sport-conrad.com/produkte/kaestle/paragon-93.html"
"NORDICA UNLEASHED 108 24/25 SKI",108,197,"141, 108, 130",2105,"186","399.00","https://www.sport-conrad.com/produkte/nordica/unleashed-108-sc-1.html"
"FACTION LA MACHINE MINI 24/25 SKI",99,20,"124, 99, 116",1450,"157, 171","599.00","https://www.sport-conrad.com/produkte/faction/la-machine-mini.html"
"KÄSTLE PARAGON 93 24/25 SKI",93,164,"128, 93, 115",1827,"177, 184","699.00","https://www.sport-conrad.com/produkte/kaestle/paragon-93.html"
"NORDICA UNLEASHED 108 24/25 SKI",108,197,"141, 108, 130",2105,"186","399.00","https://www.sport-conrad.com/produkte/nordica/unleashed-108-sc-1.html"
"ATOMIC MAVERICK 86 C 24/25 SKI",88,182,"126, 88, 5, 109, 5",1700,"169, 176, 184","399.00","https://www.sport-conrad.com/produkte/atomic/maverick-86-c-sc-1.html"
"FACTION LA MACHINE 4 24/25 SKI",117,22,"139, 117, 131",1730,"185, 191","699.00","https://www.sport-conrad.com/produkte/faction/la-machine-4.html"
"NORDICA SANTA ANA 87 24/25 SKI DAMEN",87,16,"117, 87, 105",1670,"155, 161, 167, 173","459.00","https://www.sport-conrad.com/produkte/nordica/santa-ana-87.html"
"BLACK CROWS CAPTIS BIRDIE 24/25 SKI DAMEN",90,17,"127, 90, 113",1625,"172","449.00","https://www.sport-conrad.com/produkte/black-crows/captis-birdie-sc.html"
"ATOMIC MAVEN 86 24/25 SKI DAMEN",87,147,"123, 78, 5, 106, 5",1325,"153, 169","349.00","https://www.sport-conrad.com/produkte/atomic/maven-86-sc-2.html"
"NORDICA ENFORCER 99 24/25 SKI",99,18,"132, 99, 120",2130,"191","499.00","https://www.sport-conrad.com/produkte/nordica/enforcer-99.html"
"ELAN RIPSTICK 94 W 24/25 SKI DAMEN",94,158,"129, 94, 109",1500,"175","519.00","https://www.sport-conrad.com/produkte/elan/ripstick-94-w-sc-4.html"
"LINE PANDORA 110 23/24 SKI DAMEN",110,165,"144, 110, 130",1500,"162, 170","299.00","https://www.sport-conrad.com/produkte/line/pandora-110-sc-2.html"
"LINE OPTIC 88 24/25 SKI",88,148,"121, 88, 111",1610,"170, 177","399.00","https://www.sport-conrad.com/produkte/line/optic-88.html"
